Invoice_ID,Date,Product_ID,Region,Sales_Rep,Quantity,Unit_Price,Discount,Total_Sale
164,2024-02-07,P017,North,SalesRep_3,3,56.24,4.48,164.24
165,2024-03-31,P001,East,SalesRep_9,4,106.14,0.11,424.45
166,2024-02-07,P016,West,SalesRep_8,8,53.83,3.64,427
167,2024-04-16,P004,North,SalesRep_9,8,72.7,2.95,578.65
168,2024-06-18,P012,North,SalesRep_5,1,21.29,3.25,18.04
169,2024-03-02,P017,East,SalesRep_10,9,65.14,4.64,581.62
170,2024-01-14,P015,North,SalesRep_10,5,98.56,0.74,492.06
171,2024-01-23,P007,North,SalesRep_9,6,109.5,0.15,656.85
172,2024-05-26,P016,North,SalesRep_5,4,53.59,3.4,210.96
173,2024-06-02,P017,West,SalesRep_3,5,59.47,1.98,295.37
174,2024-01-31,P001,West,SalesRep_5,7,109.82,4.53,764.21
175,2024-05-10,P005,West,SalesRep_3,6,115.38,2.77,689.51
176,2024-05-18,P014,South,SalesRep_1,7,15.03,3.2,102.01
177,2024-06-11,P012,South,SalesRep_1,3,20.83,2.11,60.38
178,2024-03-26,P014,South,SalesRep_5,9,15.57,4.24,135.89
179,2024-03-01,P010,North,SalesRep_2,10,38.04,1.95,378.45
180,2024-05-13,P001,West,SalesRep_9,3,87.25,3.95,257.8
181,2024-05-06,P018,West,SalesRep_7,3,49.69,0.94,148.13
182,2024-02-02,P013,West,SalesRep_1,2,70.07,1.83,138.31
183,2024-05-24,P016,East,SalesRep_2,9,57.97,3.06,518.67
184,2024-01-11,P017,East,SalesRep_6,6,65.17,2.62,388.4
185,2024-03-26,P004,South,SalesRep_10,8,82.09,0.24,656.48
186,2024-04-29,P013,East,SalesRep_6,4,61.92,0.74,246.94
187,2024-02-26,P009,North,SalesRep_5,7,84.38,4.44,586.22
188,2024-04-11,P002,South,SalesRep_7,2,106.63,1.22,212.04
189,2024-03-23,P007,North,SalesRep_9,5,100.15,4.8,495.95
190,2024-03-06,P002,West,SalesRep_1,2,131.46,0.92,262
191,2024-03-08,P004,North,SalesRep_4,8,89.77,2.87,715.29
192,2024-01-07,P017,East,SalesRep_3,8,57.01,0.46,455.62
193,2024-06-24,P011,West,SalesRep_3,9,29.67,1.14,265.89
194,2024-01-10,P003,South,SalesRep_9,10,126.83,4.53,1263.77
195,2024-01-12,P018,South,SalesRep_8,4,49.74,0.55,198.41
196,2024-03-07,P003,East,SalesRep_5,2,124.61,4.48,244.74
197,2024-05-10,P016,East,SalesRep_5,8,46.88,3.53,371.51
198,2024-02-21,P010,West,SalesRep_1,4,30.57,2.95,119.33
199,2024-06-19,P009,East,SalesRep_6,4,76.04,0.47,303.69
200,2024-02-21,P012,North,SalesRep_6,2,18.24,0.03,36.45
201,2024-06-29,P013,West,SalesRep_1,6,78.01,1.59,466.47
202,2024-01-10,P016,East,SalesRep_4,1,43.35,2.17,41.18
203,2024-01-08,P005,South,SalesRep_7,5,122,0.83,609.17
204,2024-02-07,P008,East,SalesRep_6,7,66.76,0.45,466.87
205,2024-02-23,P014,North,SalesRep_4,10,16.39,3.45,160.45
206,2024-04-23,P008,South,SalesRep_4,9,56.81,4.72,506.57
207,2024-03-06,P018,South,SalesRep_6,5,38.91,4.14,190.41
208,2024-05-31,P018,North,SalesRep_9,2,49.73,1.36,98.1
209,2024-05-03,P007,East,SalesRep_4,9,122.67,1.72,1102.31
210,2024-02-12,P020,South,SalesRep_5,4,24.09,2.71,93.65
211,2024-05-06,P012,North,SalesRep_1,5,18.62,0.05,93.05
212,2024-02-26,P001,South,SalesRep_7,10,104.77,1,1046.7
213,2024-01-26,P020,East,SalesRep_6,10,23.48,1.31,233.49
214,2024-01-15,P008,East,SalesRep_2,8,60.8,1.2,485.2
215,2024-01-27,P018,East,SalesRep_8,9,41.19,3.29,367.42
216,2024-02-20,P015,West,SalesRep_4,1,100.65,3.02,97.63
217,2024-05-23,P009,East,SalesRep_1,4,80.35,4.68,316.72
218,2024-05-01,P001,West,SalesRep_5,9,92.34,0.07,830.99
219,2024-03-10,P006,West,SalesRep_5,10,93.13,1.58,929.72
220,2024-03-10,P011,South,SalesRep_3,4,30.9,3.31,120.29
221,2024-01-25,P003,West,SalesRep_10,1,109.85,0.77,109.08
222,2024-05-28,P020,North,SalesRep_8,2,22.62,3.37,41.87
223,2024-02-19,P005,North,SalesRep_5,8,99.03,4.48,787.76
224,2024-02-14,P008,West,SalesRep_9,5,57.69,3.6,284.85
225,2024-04-25,P001,North,SalesRep_8,7,95.23,1.16,665.45
226,2024-01-10,P014,West,SalesRep_9,2,15.99,0.34,31.64
227,2024-06-13,P002,South,SalesRep_1,6,124.6,1.16,746.44
228,2024-01-03,P004,South,SalesRep_5,10,86.91,0.64,868.46
229,2024-01-27,P012,East,SalesRep_6,2,17.17,1.14,33.2
230,2024-03-20,P016,North,SalesRep_1,7,53.43,4.36,369.65
231,2024-06-29,P016,West,SalesRep_10,8,45.55,4.15,360.25
232,2024-01-10,P015,West,SalesRep_10,2,93.89,0.16,187.62
233,2024-03-17,P012,North,SalesRep_9,5,20.44,3.95,98.25
234,2024-01-29,P009,North,SalesRep_2,4,86.25,1.62,343.38
235,2024-02-02,P013,East,SalesRep_4,7,68.07,3.91,472.58
236,2024-05-02,P010,West,SalesRep_8,10,35.09,0.71,350.19
237,2024-02-05,P019,South,SalesRep_8,10,28.14,3.5,277.9
238,2024-03-29,P006,East,SalesRep_1,10,96.77,3.62,964.08
239,2024-02-16,P016,South,SalesRep_10,5,57.33,0.6,286.05
240,2024-01-31,P007,South,SalesRep_9,7,100.87,1.66,704.43
241,2024-05-19,P008,East,SalesRep_10,4,64.95,2.84,256.96
242,2024-01-02,P005,East,SalesRep_2,9,98.51,4.99,881.6
243,2024-04-11,P014,West,SalesRep_4,5,15.16,0.94,74.86
244,2024-02-28,P009,West,SalesRep_2,5,68.22,2.78,338.32
245,2024-03-02,P012,East,SalesRep_9,7,18.58,2.61,127.45
246,2024-04-24,P009,West,SalesRep_9,9,85.2,2.02,764.78
247,2024-01-27,P002,West,SalesRep_3,6,121.19,2.49,724.65
248,2024-02-25,P007,West,SalesRep_8,10,112.94,0.91,1128.49
249,2024-06-12,P001,East,SalesRep_3,10,92.55,2.72,922.78
250,2024-03-03,P009,North,SalesRep_6,7,83.73,4.32,581.79
251,2024-04-01,P014,North,SalesRep_6,8,15.69,0.56,124.96
252,2024-04-24,P005,North,SalesRep_10,8,117.43,4.97,934.47
253,2024-03-06,P020,East,SalesRep_1,3,22.55,0.87,66.78
254,2024-05-01,P020,West,SalesRep_2,10,19.91,2.21,196.89
255,2024-03-08,P019,South,SalesRep_6,6,25.26,2.99,148.57
256,2024-04-16,P001,East,SalesRep_9,7,93.04,4.54,646.74
257,2024-02-16,P007,North,SalesRep_6,5,121.59,3.44,604.51
258,2024-06-30,P002,West,SalesRep_10,10,105.7,4.16,1052.84
259,2024-05-12,P003,South,SalesRep_1,4,114.12,3.98,452.5
260,2024-06-27,P002,East,SalesRep_3,8,131.18,2.82,1046.62
261,2024-01-11,P013,North,SalesRep_10,7,72.34,1.16,505.22
262,2024-06-02,P012,South,SalesRep_7,9,21.49,0.02,193.39
263,2024-03-02,P007,South,SalesRep_10,6,118.41,1.86,708.6
264,2024-04-06,P019,East,SalesRep_6,3,27.02,0.49,80.57
265,2024-02-22,P018,South,SalesRep_7,5,41.05,4.81,200.44
266,2024-02-15,P011,East,SalesRep_6,7,27.62,2.72,190.62
267,2024-01-14,P015,West,SalesRep_4,2,85.44,3.65,167.23
268,2024-06-30,P005,North,SalesRep_8,5,99.97,3.57,496.28
269,2024-05-12,P009,West,SalesRep_9,10,82.59,2.84,823.06
270,2024-06-27,P016,West,SalesRep_4,1,53.72,2.57,51.15
271,2024-04-01,P015,West,SalesRep_3,9,87.08,4.86,778.86
272,2024-03-13,P016,South,SalesRep_7,3,46.84,2.99,137.53
273,2024-05-13,P014,West,SalesRep_10,1,14.81,3.77,11.04
274,2024-05-15,P016,East,SalesRep_2,8,44.5,2.86,353.14
275,2024-03-16,P015,West,SalesRep_2,6,87.46,4.35,520.41
276,2024-03-24,P007,North,SalesRep_2,7,114.95,4.64,800.01
277,2024-04-20,P008,West,SalesRep_3,9,52.96,4.6,472.04
278,2024-02-14,P011,South,SalesRep_8,6,26.74,1.2,159.24
279,2024-06-23,P015,East,SalesRep_3,10,78.61,0.11,785.99
280,2024-04-14,P020,West,SalesRep_3,5,19,1.53,93.47
281,2024-05-17,P003,North,SalesRep_4,5,110.88,3.53,550.87
282,2024-02-06,P010,South,SalesRep_2,8,31.71,1.03,252.65
283,2024-05-28,P007,North,SalesRep_4,6,118.08,0.51,707.97
284,2024-04-05,P004,East,SalesRep_5,1,83.14,0.34,82.8
285,2024-03-23,P006,North,SalesRep_6,4,115.96,2.8,461.04
286,2024-05-15,P016,South,SalesRep_7,5,45.77,4.36,224.49
287,2024-05-04,P016,East,SalesRep_10,8,46.72,3.57,370.19
288,2024-01-01,P009,East,SalesRep_4,9,84.91,0.36,763.83
289,2024-01-09,P012,West,SalesRep_4,2,17.8,3.74,31.86
290,2024-04-18,P012,East,SalesRep_1,1,18.32,3.3,15.02
291,2024-03-19,P002,East,SalesRep_9,3,128.97,3.95,382.96
292,2024-01-15,P010,South,SalesRep_10,4,32.94,0.06,131.7
293,2024-06-10,P017,East,SalesRep_10,6,54.88,1.74,327.54
294,2024-05-19,P001,East,SalesRep_9,5,103.97,4.4,515.45
295,2024-02-23,P012,East,SalesRep_9,6,19.35,4.28,111.82
296,2024-01-07,P012,West,SalesRep_2,10,20.2,3.56,198.44
297,2024-03-10,P004,East,SalesRep_10,5,79.66,1,397.3
298,2024-05-04,P019,West,SalesRep_9,3,24.6,4.66,69.14
299,2024-03-24,P011,East,SalesRep_1,5,23.43,3.48,113.67
300,2024-02-22,P008,North,SalesRep_6,1,50.81,2.84,47.97
